City,type,room_number,Area,Street,number_in_street,city_area,price,num_of_images,floor_out_of,hasElevator,condition,entranceDate,furniture,description,hasAirCondition,hasParking,hasBalcony,hasBars,hasMamad,hasStorage,handicapFriendly
פתח תקווה,דירה,5 חד׳,"126 מ""ר",קרול ,,,"3,440,000",2,קומה 9 מתוך 14,יש מעלית,חדש מקבלן,גמיש,לא צויין,בשכונת נווה גן צפון בבניין חדש ויוקרתי דירת 5 חדרים ענקית עם מחסן צמוד לדירה וחניה פרטית הדירה מתוכננת היטב מרפסת שמש מפנקת עורפית ושקטה,יש מיזוג אויר,יש חנייה,יש מרפסת,אין סורגים,יש ממ״ד,יש מחסן,נגיש לנכים
פתח תקווה,דירה,5 חד׳,"125 מ""ר",בן צבי יצחק ,12,כפר גנים ב ,"2,595,000",11,קומה 1 מתוך 5,יש מעלית,משופץ,לא צויין,לא צויין,"שכונת כפר גנים ב - דירה בבניין בוטיק ועורפי!5 חדרים עם יחידת הורים נפרדת.דירה מעוצבת ונעימה.חניה מקורה ומעלית.דירה עורפית, מיקום מעולה יציאה לכביש 471, קרוב למכולת, דואר ובתי ספר.",יש מיזוג אויר,יש חנייה,אין מרפסת,אין סורגים,אין ממ״ד,אין מחסן,לא נגיש לנכים
פתח תקווה,דירה,5 חד׳,"140 מ""ר",אחד העם ,21,המרכז השקט ,"2,590,000",0,קומה 4 מתוך 6,יש מעלית,שמור,לא צויין,ארונות בגדיםועוד,"יחידה בקומה נוף פתוח לשפירא הירוק מבט עד אלעד וראש העין. פינתית 3 חזיתות 4 כיווני אויר סלון גדול ורחב + פינת אוכל כחדר + מטבח כחדר 136 מ בארנונה מרווחת מאד אפשר להפוך ל6 חד ויותר חימום מים גם בגז אין מדרגות מהרחוב. מזגנים בסלןן בחדרים ובמטבח יפה שקטה ומיוחדת מרחק הליכה מכל המסחר והשרותים של מרכז העיר קרובה מאד לבתי ספר ת""ת בתי כנסת. בקיצור אין דברים כאלוקרא עוד",יש מיזוג אויר,אין חניה,אין מרפסת,יש סורגים,אין ממ״ד,אין מחסן,נגיש לנכים
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
